
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.1.137:50811    31.46.4.67:443         ESTABLISHED     28384
  TCP    192.168.1.137:51148    47.246.146.191:443     ESTABLISHED     96620
  TCP    192.168.1.137:51314    64.29.17.66:443        ESTABLISHED     96620
  TCP    192.168.1.137:51322    76.223.31.44:443       ESTABLISHED     96620
  TCP    192.168.1.137:51486    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:51579    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:51658    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:51765    31.46.4.65:443         ESTABLISHED     14836
  TCP    192.168.1.137:51937    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:51996    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:52304    199.232.18.114:443     ESTABLISHED     96620
  TCP    192.168.1.137:52347    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:52365    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:52373    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:52393    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:52663    31.46.4.34:443         ESTABLISHED     96620
  TCP    192.168.1.137:52674    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:52697    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:52884    31.13.84.51:443        ESTABLISHED     19348
  TCP    192.168.1.137:53032    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:53316    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:53517    173.194.76.84:443      ESTABLISHED     96620
  TCP    192.168.1.137:53533    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:53714    47.246.110.44:443      ESTABLISHED     96620
  TCP    192.168.1.137:53756    31.46.4.16:443         ESTABLISHED     96620
  TCP    192.168.1.137:53892    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:53972    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:54120    47.246.146.202:443     ESTABLISHED     96620
  TCP    192.168.1.137:54218    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:54259    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:54281    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:54461    188.114.96.10:443      ESTABLISHED     96620
  TCP    192.168.1.137:54472    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:54563    142.251.38.194:443     ESTABLISHED     96620
  TCP    192.168.1.137:54600    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:54638    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:54701    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:54732    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:54813    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:54891    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:55261    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:55403    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:55600    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:55694    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:55959    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:55999    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:56030    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:56032    139.45.197.233:443     ESTABLISHED     96620
  TCP    192.168.1.137:56280    47.246.165.254:443     ESTABLISHED     96620
  TCP    192.168.1.137:56398    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:56420    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:56481    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:56486    82.208.21.34:443       ESTABLISHED     96620
  TCP    192.168.1.137:56546    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:56565    64.233.184.188:5228    ESTABLISHED     96620
  TCP    192.168.1.137:56758    188.114.96.10:443      ESTABLISHED     96620
  TCP    192.168.1.137:56866    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:57010    20.50.88.235:443       TIME_WAIT       0
  TCP    192.168.1.137:57011    20.50.88.233:443       ESTABLISHED     58880
  TCP    192.168.1.137:57081    31.46.4.42:443         ESTABLISHED     14836
  TCP    192.168.1.137:57171    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:57223    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:57300    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:57545    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:57628    18.172.242.63:443      ESTABLISHED     96620
  TCP    192.168.1.137:57861    139.45.197.115:443     ESTABLISHED     96620
  TCP    192.168.1.137:58084    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:58253    13.107.213.44:443      ESTABLISHED     43016
  TCP    192.168.1.137:58378    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:58429    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:58461    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:58565    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:58725    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:58949    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:58958    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:58966    192.168.1.1:53         TIME_WAIT       0
  TCP    192.168.1.137:58967    142.250.180.195:80     ESTABLISHED     1692
  TCP    192.168.1.137:58968    23.35.209.170:80       ESTABLISHED     1692
  TCP    192.168.1.137:58969    145.236.73.155:80      ESTABLISHED     1692
